file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Banco,class,4,5,1,4,28,1,0,20,7,0.5714286,NaN,NaN,7,7,1,6,0,0,1,0,0,0,2,2,0,2,0,0,0,0,9,146,3,2,6,0,1,32,13,20,3,20,4,0,0,0,49,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaPoupanca,class,2,4,2,2,8,2,0,2,8,0.6,0.1,0.1,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,31,2,0,0,0,1,4,4,3,3,1,1,0,0,0,19,0,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,ContaCorrente,class,1,2,1,1,9,2,0,2,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,6,3,3,0,0,1,0,0,0,15,0,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\4_Banco\Copilot\code\Banco.java,Conta,class,0,3,3,0,5,1,2,0,6,0.6,0.2,0.3,5,0,5,0,0,0,5,2,0,0,2,0,0,0,2,0,0,0,0,16,2,0,0,0,0,0,1,2,0,2,0,0,0,0,9,1024,0
