file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Livro.java,src.Livro,class,0,3,3,0,6,1,0,0,3,0.625,0.4,1.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,27,4,0,0,0,0,0,0,5,0,4,0,0,0,0,13,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Biblioteca.java,src.Biblioteca,class,3,4,1,3,13,1,0,29,0,0.47619048,0.61904764,1.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,3,55,0,0,5,0,0,5,0,8,1,13,1,0,0,5,26,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,class,3,3,0,3,9,1,0,11,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,69,1,1,0,0,0,23,7,15,0,15,2,0,0,0,30,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,class,2,3,1,2,9,1,0,2,1,0.60714287,0.47619048,1.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,0,0,0,34,6,0,1,0,0,0,5,6,2,5,1,0,0,0,18,1,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Usuario.java,src.Usuario,class,1,5,4,1,8,1,0,3,0,0.4,0.7,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,23,6,0,3,0,0,0,0,3,0,3,1,0,0,0,16,1,0
