file,class,method,variable,usage
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],cpfDevolucao,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],args,0
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],isbnEmprestimo,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],isbnDeletar,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],scanner,15
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],cpf,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Main.java,src.Main,main/1[java.lang.String[]],isbnMulta,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,calcularMulta/1[java.time.LocalDate],dataAtual,1
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,calcularMulta/1[java.time.LocalDate],diasAtraso,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,"Emprestimo/3[src.Usuario,src.Livro,java.time.LocalDate]",livro,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,"Emprestimo/3[src.Usuario,src.Livro,java.time.LocalDate]",dataEmprestimo,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,"Emprestimo/3[src.Usuario,src.Livro,java.time.LocalDate]",usuario,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Emprestimo.java,src.Emprestimo,finalizarEmprestimo/1[java.time.LocalDate],dataDevolucao,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Usuario.java,src.Usuario,"Usuario/2[java.lang.String,java.lang.String]",cpf,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Usuario.java,src.Usuario,"Usuario/2[java.lang.String,java.lang.String]",nome,2
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Usuario.java,src.Usuario,equals/1[java.lang.Object],obj,4
C:\Users\gabri\OneDrive\Documentos\CEFET\0TCC\Sistemas\2_Biblioteca\Copilot\code\src\Usuario.java,src.Usuario,equals/1[java.lang.Object],usuario,1
